before CR,CR after liquidate to collateral,CR after liquidate to leveraged,CR after liquidate to both,pegged before,pegged after liquidate to collateral,pegged after liquidate to leveraged,pegged after liquidate to both
0.074000000000000000,0.074000000000000000,0.123333333333333333,0.222000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.076000000000000000,0.076000000000000000,0.126666666666666666,0.228000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.078000000000000000,0.078000000000000000,0.130000000000000000,0.234000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.080000000000000000,0.080000000000000000,0.133333333333333333,0.240000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.082000000000000000,0.082000000000000000,0.136666666666666666,0.246000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.084000000000000000,0.084000000000000000,0.140000000000000000,0.252000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.086000000000000000,0.086000000000000000,0.143333333333333333,0.258000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.088000000000000000,0.088000000000000000,0.146666666666666666,0.264000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.090000000000000000,0.090000000000000000,0.150000000000000000,0.270000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.092000000000000000,0.092000000000000000,0.153333333333333333,0.276000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.094000000000000000,0.094000000000000000,0.156666666666666666,0.282000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.096000000000000000,0.096000000000000000,0.160000000000000000,0.288000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.098000000000000000,0.098000000000000000,0.163333333333333333,0.294000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.100000000000000000,0.100000000000000000,0.166666666666666666,0.300000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.102000000000000000,0.102000000000000000,0.170000000000000000,0.306000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.104000000000000000,0.104000000000000000,0.173333333333333333,0.312000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.106000000000000000,0.106000000000000000,0.176666666666666666,0.318000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.108000000000000000,0.108000000000000000,0.180000000000000000,0.324000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.110000000000000000,0.110000000000000000,0.183333333333333333,0.330000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.112000000000000000,0.112000000000000000,0.186666666666666666,0.336000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.114000000000000000,0.114000000000000000,0.190000000000000000,0.342000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.116000000000000000,0.116000000000000000,0.193333333333333333,0.348000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.118000000000000000,0.118000000000000000,0.196666666666666666,0.354000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.120000000000000000,0.120000000000000000,0.200000000000000000,0.360000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.122000000000000000,0.122000000000000000,0.203333333333333333,0.366000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.124000000000000000,0.124000000000000000,0.206666666666666666,0.372000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.126000000000000000,0.126000000000000000,0.210000000000000000,0.378000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.128000000000000000,0.128000000000000000,0.213333333333333333,0.384000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.130000000000000000,0.130000000000000000,0.216666666666666666,0.390000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.132000000000000000,0.132000000000000000,0.220000000000000000,0.396000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.134000000000000000,0.134000000000000000,0.223333333333333333,0.402000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.136000000000000000,0.136000000000000000,0.226666666666666666,0.408000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.138000000000000000,0.138000000000000000,0.230000000000000000,0.414000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.140000000000000000,0.140000000000000000,0.233333333333333333,0.420000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.142000000000000000,0.142000000000000000,0.236666666666666666,0.426000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.144000000000000000,0.144000000000000000,0.240000000000000000,0.432000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.146000000000000000,0.146000000000000000,0.243333333333333333,0.438000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.148000000000000000,0.148000000000000000,0.246666666666666666,0.444000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.150000000000000000,0.150000000000000000,0.250000000000000000,0.450000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.152000000000000000,0.152000000000000000,0.253333333333333333,0.456000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.154000000000000000,0.154000000000000000,0.256666666666666666,0.462000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.156000000000000000,0.156000000000000000,0.260000000000000000,0.468000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.158000000000000000,0.158000000000000000,0.263333333333333333,0.474000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.160000000000000000,0.160000000000000000,0.266666666666666666,0.480000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.162000000000000000,0.162000000000000000,0.270000000000000000,0.486000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.164000000000000000,0.164000000000000000,0.273333333333333333,0.492000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.166000000000000000,0.166000000000000000,0.276666666666666666,0.498000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.168000000000000000,0.168000000000000000,0.280000000000000000,0.504000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.170000000000000000,0.170000000000000000,0.283333333333333333,0.510000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.172000000000000000,0.172000000000000000,0.286666666666666666,0.516000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.174000000000000000,0.174000000000000000,0.290000000000000000,0.522000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.176000000000000000,0.176000000000000000,0.293333333333333333,0.528000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.178000000000000000,0.178000000000000000,0.296666666666666666,0.534000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.180000000000000000,0.180000000000000000,0.300000000000000000,0.540000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.182000000000000000,0.182000000000000000,0.303333333333333333,0.546000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.184000000000000000,0.184000000000000000,0.306666666666666666,0.552000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.186000000000000000,0.186000000000000000,0.310000000000000000,0.558000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.188000000000000000,0.188000000000000000,0.313333333333333333,0.564000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.190000000000000000,0.190000000000000000,0.316666666666666666,0.570000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.192000000000000000,0.192000000000000000,0.320000000000000000,0.576000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.194000000000000000,0.194000000000000000,0.323333333333333333,0.582000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.196000000000000000,0.196000000000000000,0.326666666666666666,0.588000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.198000000000000000,0.198000000000000000,0.330000000000000000,0.594000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.200000000000000000,0.200000000000000000,0.333333333333333333,0.600000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.202000000000000000,0.202000000000000000,0.336666666666666666,0.606000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.204000000000000000,0.204000000000000000,0.340000000000000000,0.612000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.206000000000000000,0.206000000000000000,0.343333333333333333,0.618000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.208000000000000000,0.208000000000000000,0.346666666666666666,0.624000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.210000000000000000,0.210000000000000000,0.350000000000000000,0.630000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.212000000000000000,0.212000000000000000,0.353333333333333333,0.636000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.214000000000000000,0.214000000000000000,0.356666666666666666,0.642000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.216000000000000000,0.216000000000000000,0.360000000000000000,0.648000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.218000000000000000,0.218000000000000000,0.363333333333333333,0.654000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.220000000000000000,0.220000000000000000,0.366666666666666666,0.660000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.222000000000000000,0.222000000000000000,0.370000000000000000,0.666000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.224000000000000000,0.224000000000000000,0.373333333333333333,0.672000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.226000000000000000,0.226000000000000000,0.376666666666666666,0.678000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.228000000000000000,0.228000000000000000,0.380000000000000000,0.684000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.230000000000000000,0.230000000000000000,0.383333333333333333,0.690000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.232000000000000000,0.232000000000000000,0.386666666666666666,0.696000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.234000000000000000,0.234000000000000000,0.390000000000000000,0.702000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.236000000000000000,0.236000000000000000,0.393333333333333333,0.708000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.238000000000000000,0.238000000000000000,0.396666666666666666,0.714000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.240000000000000000,0.240000000000000000,0.400000000000000000,0.720000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.242000000000000000,0.242000000000000000,0.403333333333333333,0.726000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.244000000000000000,0.244000000000000000,0.406666666666666666,0.732000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.246000000000000000,0.246000000000000000,0.410000000000000000,0.738000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.248000000000000000,0.248000000000000000,0.413333333333333333,0.744000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.250000000000000000,0.250000000000000000,0.416666666666666666,0.750000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.252000000000000000,0.252000000000000000,0.420000000000000000,0.756000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.254000000000000000,0.254000000000000000,0.423333333333333333,0.762000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.256000000000000000,0.256000000000000000,0.426666666666666666,0.768000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.258000000000000000,0.258000000000000000,0.430000000000000000,0.774000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.260000000000000000,0.260000000000000000,0.433333333333333333,0.780000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.262000000000000000,0.262000000000000000,0.436666666666666666,0.786000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.264000000000000000,0.264000000000000000,0.440000000000000000,0.792000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.266000000000000000,0.266000000000000000,0.443333333333333333,0.798000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.268000000000000000,0.268000000000000000,0.446666666666666666,0.804000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.270000000000000000,0.270000000000000000,0.450000000000000000,0.810000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.272000000000000000,0.272000000000000000,0.453333333333333333,0.816000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.274000000000000000,0.274000000000000000,0.456666666666666666,0.822000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.276000000000000000,0.276000000000000000,0.460000000000000000,0.828000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.278000000000000000,0.278000000000000000,0.463333333333333333,0.834000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.280000000000000000,0.280000000000000000,0.466666666666666666,0.840000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.282000000000000000,0.282000000000000000,0.470000000000000000,0.846000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.284000000000000000,0.284000000000000000,0.473333333333333333,0.852000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.286000000000000000,0.286000000000000000,0.476666666666666666,0.858000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.288000000000000000,0.288000000000000000,0.480000000000000000,0.864000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.290000000000000000,0.290000000000000000,0.483333333333333333,0.870000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.292000000000000000,0.292000000000000000,0.486666666666666666,0.876000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.294000000000000000,0.294000000000000000,0.490000000000000000,0.882000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.296000000000000000,0.296000000000000000,0.493333333333333333,0.888000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.298000000000000000,0.298000000000000000,0.496666666666666666,0.894000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.300000000000000000,0.300000000000000000,0.500000000000000000,0.900000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.302000000000000000,0.302000000000000000,0.503333333333333333,0.906000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.304000000000000000,0.304000000000000000,0.506666666666666666,0.912000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.306000000000000000,0.306000000000000000,0.510000000000000000,0.918000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.308000000000000000,0.308000000000000000,0.513333333333333333,0.924000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.310000000000000000,0.310000000000000000,0.516666666666666666,0.930000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.312000000000000000,0.312000000000000000,0.520000000000000000,0.936000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.314000000000000000,0.314000000000000000,0.523333333333333333,0.942000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.316000000000000000,0.316000000000000000,0.526666666666666666,0.948000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.318000000000000000,0.318000000000000000,0.530000000000000000,0.954000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.320000000000000000,0.320000000000000000,0.533333333333333333,0.960000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.322000000000000000,0.322000000000000000,0.536666666666666666,0.966000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.324000000000000000,0.324000000000000000,0.540000000000000000,0.972000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.326000000000000000,0.326000000000000000,0.543333333333333333,0.978000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.328000000000000000,0.328000000000000000,0.546666666666666666,0.984000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.330000000000000000,0.330000000000000000,0.550000000000000000,0.990000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.332000000000000000,0.332000000000000000,0.553333333333333333,0.996000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.334000000000000000,0.334000000000000000,0.556666666666666666,1.002000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.336000000000000000,0.336000000000000000,0.560000000000000000,1.008000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.338000000000000000,0.338000000000000000,0.563333333333333333,1.014000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.340000000000000000,0.340000000000000000,0.566666666666666666,1.020000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.342000000000000000,0.342000000000000000,0.570000000000000000,1.026000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.344000000000000000,0.344000000000000000,0.573333333333333333,1.032000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.346000000000000000,0.346000000000000000,0.576666666666666666,1.038000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.348000000000000000,0.348000000000000000,0.580000000000000000,1.044000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.350000000000000000,0.350000000000000000,0.583333333333333333,1.050000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.352000000000000000,0.352000000000000000,0.586666666666666666,1.056000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.354000000000000000,0.354000000000000000,0.590000000000000000,1.062000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.356000000000000000,0.356000000000000000,0.593333333333333333,1.068000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.358000000000000000,0.358000000000000000,0.596666666666666666,1.074000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.360000000000000000,0.360000000000000000,0.600000000000000000,1.080000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.362000000000000000,0.362000000000000000,0.603333333333333333,1.086000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
0.364000000000000000,0.364000000000000000,0.606666666666666666,1.092000000000000000,20000.000000000000000000,12000.000000000000000000,12000.000000000000000000,4000.000000000000000000
